id,value
id_0,6.515087795833535
id_1,18.187309530485283
id_2,24.419442045517577
id_3,7.677862092239897
id_4,27.12804231693714
id_5,22.094168151143634
id_6,23.664577639086957
id_7,30.753962630037023
id_8,16.883673610932114
id_9,59.54230284568908
id_10,11.732320365235434
id_11,9.34164609500571
id_12,63.25834442011317
id_13,53.265778579151515
id_14,22.050488166312817
id_15,12.245160364730157
id_16,32.37251601506922
id_17,66.65772078065433
id_18,-0.5024840106675441
id_19,17.12480999261394
id_20,41.89946138894031
id_21,72.33779373663762
id_22,9.22819418809185
id_23,17.971590223818005
id_24,14.69756506803126
id_25,38.27818594837602
id_26,14.910789223491607
id_27,62.46579374822938
id_28,7.219069909054518
id_29,55.55350695280785
id_30,24.444261458967667
id_31,8.682080524152576
id_32,2.5650732076633105
id_33,18.647763143453282
id_34,27.60105102312665
id_35,37.27175955548918
id_36,43.33344370106785
id_37,29.64535694951805
id_38,41.87034591671413
id_39,35.41055341672518
id_40,7.769351251195406
id_41,41.154967592075586
id_42,30.434985760917442
id_43,51.08565746175323
id_44,17.458252225959512
id_45,35.468544768624994
id_46,24.644383752484345
id_47,9.69485232914088
id_48,26.607590493859192
id_49,32.30473054094649
id_50,20.28364802801194
id_51,7.8600636708936396
id_52,20.43290135588423
id_53,52.579176147431895
id_54,15.896332186160166
id_55,36.21283905663065
id_56,33.098576785251375
id_57,20.704350446866368
id_58,57.34375216254758
id_59,22.76350514873074
id_60,14.309046524203534
id_61,41.81838911543579
id_62,12.766063008112107
id_63,48.54088407240061
id_64,14.20012459287518
id_65,14.992066027491699
id_66,14.507790417794226
id_67,-0.9918779195369414
id_68,43.82926578885825
id_69,29.052038346342727
id_70,20.357149705545986
id_71,41.683670774005364
id_72,60.37248690625313
id_73,5.580800972206712
id_74,16.46376696451302
id_75,3.3711636661984556
id_76,40.30755036768098
id_77,14.242862140095797
id_78,21.677603425107954
id_79,21.003300008622666
id_80,23.875369690858484
id_81,36.097941478789764
id_82,21.80566587039295
id_83,92.51637045792954
id_84,37.3117611709815
id_85,27.96561821771691
id_86,22.01026628312723
id_87,33.52692993472817
id_88,23.31978508536473
id_89,19.765218421679783
id_90,28.639791005775102
id_91,41.43808796589944
id_92,4.869590213506763
id_93,38.4625224309944
id_94,45.77352056123256
id_95,16.51603517539759
id_96,31.479436489653626
id_97,13.006680724869696
id_98,23.229772480240264
id_99,4.581646062032238
id_100,18.2067177294982
id_101,26.423805820404844
id_102,14.09600293016606
id_103,15.906968830382867
id_104,23.944385878479167
id_105,39.79191956459786
id_106,31.441707641724967
id_107,6.1236628834053395
id_108,6.093908655105585
id_109,78.5704197189668
id_110,48.1266460822911
id_111,17.178691615950665
id_112,27.621224268541408
id_113,15.13786513340129
id_114,13.749434527267388
id_115,24.907398206596252
id_116,26.644830464735158
id_117,10.489694824768534
id_118,18.45506829894648
id_119,19.621600396444755
id_120,80.49908342316375
id_121,25.44476615548391
id_122,37.26924271987825
id_123,25.559487582232983
id_124,7.425466038328064
id_125,38.838290190210074
id_126,9.253208672455408
id_127,21.893097501380815
id_128,29.195678119626628
id_129,62.88903418204759
id_130,21.988851912872214
id_131,23.48438037997026
id_132,59.00218584438095
id_133,15.197181000629708
id_134,14.124330733514828
id_135,2.6220446273494034
id_136,12.568567382385943
id_137,58.68531518032992
id_138,20.460635167955182
id_139,5.382688160115414
id_140,29.004315917534853
id_141,25.32696042861641
id_142,45.30895700713013
